"hey" "hei"
"you" "sinä"
"little" "pieni"
"piss" "pissa"
"baby" "vauva"
"think" "ajatella"
"youre" "olet"
"so" "niin"
"fucking" "helvetin/helvetinmoinen"
"cool" "siisti/hieno"
"huh" "veikkikö"
"tough" "kova/vaikea"
"talk" "puhua"
"a" "yksi"
"lotta" "paljon"
"big" "iso/suurikokoinen"
"game" "peli"
"for" "jollekin"
"someone" "joku"
"with" "kanssa"
"such" "sellainen"
"small" "pieni"
"truck" "kuorma-auto/trukki"
"aw" "voi/toivoisin"
"look" "katsoa/katse"
"at" "tähän"
"those" "nuo"
"arms" "kädet"
"your" "sinun"
"cute" "söpö/ihananäköinen"
"they" "ne"
"like" "kuten/samoin"
"lil" "pikku"
"cigarettes" "tupakka"
"i" "minä"
"bet" "lyödä vetoa"
"could" "osata"
"smoke" "tupakoida"
"roast" "paistaa"
"and" "ja"
"then" "sitten"
"youd" "sinäkö"
"love" "rakastaa"
"it" "sitä"
"text" "lähettää tekstiviestiä"
"me" "minulle"
"id" "minä"
"ghost" "kummitella"
"the" "se, se (määräinen artikkeli)"
"boys" "pojat"
"coming" "tuleva"
"stuff" "tavara, asia"
"feel" "tuntea"
"clean" "puhdas"
"money" "raha"
"machine" "kone"
"oh" "oh"
"yeah" "joo"
"trucks" "kuorma-autot"
"picture" "kuva"
"tell" "kertoa"
"whats" "mikä on?"
"deal" "sopimus/tehdä kauppa"
"ive" "olen"
"been" "ollut"
"tryin" "yrittänyt"
"to" "mennä"
"go" "mennä"
"bed" "sänky"
"up" "ylös"
"days" "päivät"
"tryna" "yrittää"
"get" "saada"
"ahead" "eteenpäin"
"said" "sanoa"
"all" "kaikki/kaiken kaikkiaan"
"before" "ennen/ennen kuin/jonkin takia"
"ill" "tulen"
"say" "sanoa"
"once" "kerran"
"again" "uudelleen"
"im" "olen"
"better" "parempi"
"off" "pois"
"alone" "yksin/yksinäinen"
"was" "oli"
"find" "löytää"
"way" "tapa"
"kill" "tappaa"
"time" "aika"
"didnt" "en tehnyt"
"even" "edes"
"goodbye" "hyvästit"
"now" "nyt"
"gone" "kadonnut"
"cant" "ei voi"
"ever" "koskaan"
"this" "tämä"
"feelings" "tunteet"
"going" "menossa"
"my" "minun"
"head" "pää"
"thinking" "ajattelemassa"
"things" "asiat"
"shouldnt" "ei pitäisi"
"circled" "kiertää"
"inside" "sisällä"
"room" "huone"
"couldnt" "ei voinut"
"another" "toinen"
"day" "päivä"
"god" "jumala"
"what" "mikä"
"fuck" "vittu"
"take" "ottaa"
"hand" "käsi"
"crush" "murskata"
"spill" "kaataa"
"blood" "veri"
"on" "päälle"
"floor" "lattia"
"aint" "ei ole"
"scared" "peloissaan"
"theres" "siellä on"
"more" "enemmän"
"make" "tehdä"
"stop" "lopettaa"
"took" "vei"
"too" "liian"
"long" "pitkä"
"here" "täällä"
"right" "oikea"
"in" "sisällä"
"car" "auto"
"smoking" "tupakointi"
"cigs" "tupakka"
"bar" "baari"
"dont" "älä"
"want" "haluta"
"got" "saanut"
"bad" "huono"
"intentions" "aikeet"
"never" "koskaan"
"wanted" "halunnut"
"made" "tehnyt"
"mission" "tehtävä"
"wanna" "halua"
"hurt" "satuttaa"
"no" "ei"
"one" "yksi"
"but" "mutta"
"just" "vain"
"went" "meni, lähti"
"fun" "hauskaa, huvia"
"hear" "kuulla"
"lookin" "katsoa"
"fight" "taistelu"
"corpus" "ruumis, kokoelma"
"bride" "morsian"
"shes" "hän on"
"workin" "työskentelevä"
"mind" "mieli, ajatus"
"its" "sen"
"not" "ei"
"enough" "tarpeeksi"
"fucked" "perseestä"
"last" "viimeinen"
"try" "yrittää"
"we" "me"
"were" "olivat"
"studio" "studio, äänitysstudio"
"playin" "soittava"
